Timestamp,word,造句（请给出一则造句）,备注：,创建时间,词性,出处,Link:,创建用户,解释+出处：,短释义,视频或图片补充
5/24/2021 23:46:25,打脸,小词以为自己保录911的，结果没被录取：小词被打脸了。,,12/10/2016,"生活, 学习, 游戏, 直播",出自鲁迅《且介亭杂文·脸谱臆测》：“古代的假面和现在的打脸的关系，好像还没有人研究过。” ,"https://baike.baidu.com/item/%E6%89%93%E8%84%B8/10929028#:~:text=%E6%89%93%E8%84%B8%E5%87%BA%E5%A4%84&text=%E7%BC%96%E8%BE%91-,%E9%B2%81%E8%BF%85%20%E3%80%8A%E4%B8%94%E4%BB%8B%E4%BA%AD%E6%9D%82%E6%96%87%C2%B7%E8%84%B8%E8%B0%B1%E8%87%86%E6%B5%8B%E3%80%8B%EF%BC%9A%E2%80%9C,%EF%BC%9A%E2%80%9C%E6%89%93%E8%84%B8%E4%BA%86%E3%80%82%E2%80%9D",fahygao,意为被当面证明错误，使其丢脸。指在各种事件中，当事人用来辟谣的话被辟谣了。,,
5/24/2021 23:59:50,瓜,郑爽被爆代孕：这个郑爽的瓜属实香。,,9/19/2018,"生活, 数码, 饭圈",出自论坛，IM群中，经常有人发言讨论一些问题，后面就一堆人围观扯淡，此时就会形成如下面的盖楼、刷屏：“前排出售瓜子”“前排吃瓜子”“前排吃瓜”“吃瓜群众”“不明真相的吃瓜群众”等等。,"https://baike.baidu.com/item/%E5%90%83%E7%93%9C%E7%BE%A4%E4%BC%97#:~:text=%E5%90%83%E7%93%9C%E7%BE%A4%E4%BC%97%E8%AF%8D%E8%AF%AD%E6%9D%A5%E6%BA%90&text=%E2%80%9C%E5%90%83%E7%93%9C%E7%BE%A4%E4%BC%97%E2%80%9D%E4%B8%AD%E7%9A%84,%E7%9A%84%E7%9B%96%E6%A5%BC%E3%80%81%E5%88%B7%E5%B1%8F%EF%BC%9A&text=%E4%BA%8E%E6%98%AF%E5%B0%B1%E5%B9%B2%E8%84%86%E6%9C%89%E4%BA%BA%E5%B0%86,%E5%9B%B4%E8%A7%82%E6%9F%90%E4%BA%8B%E7%89%A9%E7%9A%84%E4%BA%BA%E4%BB%AC%E3%80%82",fahygao,意为值得八卦的事情，可代指重大新闻、或新鲜的传闻。,,
5/25/2021 15:45:59,普信男,小词一直都对自己非常有自信，即使在别人说自己长相丑的时候，他也对自己长得像吴彦祖深信不疑：小词就是普信男。,出现时间2018年8月,2018/8/1,"生活, 直播",出自《脱口秀大会》S3杨笠的脱口秀表演。原句为“男生为什么明明看起来这么普通，但是他却可以那么自信”。她猛攻男性盲目自信的表演，让在场男士都如坐针毡的同时，也在网上引发了一波争论。,https://www.sohu.com/a/414085811_115479,fahygao,直译为普通且自信的男人。一般形容男生具有迷之自信，不会跟女生搭讪聊天且资质相貌一般。,,
5/26/2021 14:21:48,giegie,我只会心疼giegie,原视频链接：https://www.bilibili.com/video/BV1S64y1S7tJ/?spm_id_from=333.788.recommend_more_video.6,4/11/2021,"生活, 直播, 体育, 抖音","出自抖音“悦悦大叔”的一条视频，由于表情太过抽象而广为流传。其中女生坐在一男生的电动车后面，一边吃棒棒糖一边说一系列绿茶精的话，其中就有""哥哥你女朋友要是知道我们吃同一个棒棒糖，你女朋友不会生气吧。。。好可怕，你女朋友，不像我，只会心疼giegie～""",https://baike.baidu.com/item/giegie,fahygao,“哥哥”的谐音。,,
5/26/2021 14:32:00,绿茶婊,小黄经常在王者荣耀代练圈里出没，然而她因为声音甜话说的好听勾引了很多大V陪她玩。小词对此表示：小黄这绿茶婊真的是够了！,,4/10/2013,生活,出自2013年海南三亚举办的“海天盛筵”奢华生活方式展会，其被揭发色情及不雅事件，引发大量的社会争议，网友发明“绿茶婊”一词进行讥讽。,https://www.zhihu.com/question/21680391,fahygao,该词语由“绿茶”和“婊子”组成。意为外表清纯但靠引诱男性甚至出卖肉体获得名利的女性。（该词具有侮辱性，请慎重使用！）,,
5/26/2021 14:43:33,炸鱼,小词虽然排位已经王者了，但仍然天天用小号配女友在青铜局打打闹闹：炸鱼炸得没完没了。,,1/14/2019,"生活, 游戏, 直播, 旧词新义",出自电子竞技直播领域。因为高段位的直播选手选择在低段位的局内虐杀新手的现象相当恶劣，网友通过这一词表达不满。CSGO和PUBG等游戏尤为明显。,"https://baike.baidu.com/item/%E7%82%B8%E9%B1%BC#:~:text=%E7%82%B8%E9%B1%BC%E5%BC%95%E7%94%B3%E5%90%AB%E4%B9%89&text=%E5%9C%A8%E7%94%B5%E5%AD%90%E7%AB%9E%E6%8A%80%E4%B8%AD%EF%BC%8C%E6%8C%87,%E4%B8%AD%E8%BF%9B%E8%A1%8C%E6%B8%B8%E6%88%8F%E7%9A%84%E8%A1%8C%E4%B8%BA%E3%80%82",fahygao,直译用炸弹捕鱼。在不同领域有不同的意思：在贴吧论坛中，“炸鱼”指论坛里诱导潜水的用户进行回复；在电子竞技中，指拥有较高游戏水平的玩家，通过某些手段，长期恶意在低水平玩家群体中进行游戏的行为。现在后者更为常用。,,
5/26/2021 14:54:32,针不戳,这每天看星星月亮，呼吸新鲜空气，针不戳！,视频链接：https://www.youtube.com/watch?v=MBknXEIhx4s,9/14/2020,"生活, 学习, 游戏, 直播",出自CSGO主播茄子参加小象互娱团建活动是说出的话：“针不戳，住在山里针不戳”。因为主播普通话不太好，其实是真不错的意思。,https://baike.baidu.com/item/%E9%92%88%E4%B8%8D%E7%BB%B0?fromtitle=%E9%92%88%E4%B8%8D%E6%88%B3&fromid=54212339,fahygao,“真不错”的谐音。,,
5/26/2021 15:21:48,社死,小词的小孩因为没换尿不湿直接尿到地铁上：小词当场社死。,,2/18/2021,"生活, 学习",出自美国作家托马斯·林奇1997年创作的书《殡葬人手记》，书中有一段对死亡种类的描写，摘自原文：“死亡有多重意义。听诊器和脑电波仪测出的，叫‘肌体死亡’；以神经末端和分子的活动为基准确定的，叫‘代谢死亡’；最后是亲友和邻居所公知的死亡，‘社会性死亡’。”现在该梗词有借鉴且结合社会实情之意。,https://baike.baidu.com/item/%E7%A4%BE%E6%AD%BB%E7%8E%B0%E5%9C%BA,fahygao,直意为社会性死亡。指当众表现或被揭露很糗的事情，程度可轻可重。,,
5/26/2021 15:26:36,气氛组,小词表示：没有气氛组聚会都没趣。快点请我出去玩呀～,,8/16/2019,"生活, 直播, 蹦迪",出自酒吧内常有的一份工作，具体工作内容就是营造现场的气氛，让现场更嗨。,https://jikipedia.com/definition/450484649,fahygao,意为营造气氛的人。现在可用在任何场合，用来形容活跃气氛、带动气氛的人。,,
5/26/2021 15:39:29,吉吉国王,看到队友的猴子死了10词后，小词用两分钟挂机打字评论道：“明明开局说自己会跳棍的结果没想到是个吉吉国王，哼”,,6/25/2019,"生活, 游戏, 直播, 二次元",出自动画片《熊出没》里的人物设定。因为其中一角色“吉吉国王”黄色毛发、超大嘴巴的独特造型和各种奇特行为，被大家熟知。,https://jikipedia.com/definition/228740467,fahygao,形容长相怪异、行为奇特类似《熊出没》里吉吉的人或者事物称为“吉吉国王”。,,https://drive.google.com/open?id=1ZvgrbtbRW2HDt9j9rvUwJZjBCWHrQskS
