word,inspector,Creator,long-definition,origin,tag,example,"link(img,def)",short-definition,date,similar_words,,,审核是否完成,
小丑竟是我自己,Phoebe,Ella,"多指舔着脸尽力讨好别人自己却得不到任何回报和问候。最开始网友用""小丑竟在我身边""用来嘲讽他人 ，最后自嘲时就变成了""小丑竟是我自己""。",出自一个表情包：一个人（舔狗）把自己的小丑妆容一层层的卸下来（准备不当舔狗），但当他女神跟他说一句话后他又变回了小丑的模样。,生活,昨天刚说不再联系我女神了的，今天她发短信给我我忍不住又秒回了，小丑竟是我自己。,,汪汪汪,12/23/2020,"['蓝精灵竟是我自己', '小丑竟四我自己', '曹贼竟是我自己', '女同竟是我自己', '张三竟是我自己']",,,完成,
650一天一人伙食费不够,Phoebe,Ella,指娱乐圈内一些名人生活非常奢侈，650元一天都不能解决伙食。,出自综艺《五十公里桃花坞》。节目中，15位嘉宾需要一同度过21天的群居时光，且开支都必须自己垫付。当嘉宾们开会提出要先凑齐伙食费，宋丹丹提到每一个人出650块钱时，苏芒说到：“650元真的不够啊，你早上不喝牛奶呀，你不吃鸡蛋啊，我们要吃好一点，我不能那么差的伙食。”,饭圈,650一天一人伙食费不够，你早上不喝牛奶呀？你不吃鸡蛋啊？,https://www.youtube.com/watch?v=Wx_GbGTcxNE,我不能那么差的伙食呀,5/24/2020,[],,,完成,
hs和gs,Phoebe,Ella,指龚俊和张哲瀚的粉丝。,,生活,,,,,"['nhjsg', 'xhssf', 'chssn', 'hsÂíågs', 'hshs']",,,完成,
典同,Phoebe,Ella,典型同性恋的简写。,出自一款音乐app上，因为有些网民平时听的所有歌手都是同一性别，他们就调侃自己是“典同”。,生活,哥们儿，你今天发的这组照片是典同照啊。,,你今天的造型,5/23/2021,[],,,完成,
一个丫鬟不觉得自己可怜，觉得你锦衣玉食的主子可怜,Phoebe,Ella,指很多人不先看看自己的处境，却反而担忧那些处境比他们好得多的人。,出自2016年由严屹宽主演的《新萧十一郎》其中一句台词：“我看你是糊涂了，你一个丫鬟不觉得自己可怜，觉得你锦衣玉食的主子可怜。”,生活，国风,郑爽抛弃代孕孩子，粉丝为她心疼，真的是一个丫鬟不觉得自己可怜，觉得你锦衣玉食的珠子可怜。,,先看看自己的处境吧,5/21/2021,[],,,完成,
千纸鹤,Phoebe,Ella,指易烊千玺的粉丝，千玺跟千纸鹤很接近，所以粉丝用千纸鹤来作为粉丝群体的名字。,不明,饭圈,作为千纸鹤，要好好保护千玺哥哥！,,易烊千玺yyds,不明,[],,,完成,
拌匀,Phoebe,Ella,“搬运”的谐音，指把一个平台发布的视频，图片，文字等资源，发布到另一个平台。,出自影视资源版权问题，因连着 “搬运” 这两个字在很多社区都是被禁的，于是出现了很多网友用“拌匀”替代搬运。,生活,我昨天把一大部分油管的内容拌匀到了B站。,,搬运,5/19/2021,[],,,完成,
uu,Phoebe,Ella,“友友”的谐音，男女都可用。,出自豆瓣小组，相互称呼彼此为友友，简写uu。,生活,我的好uu，你最近过得怎么样呀？,,友友,5/19/2021,[],,,完成,
瑞思拜,Phoebe,Ella,Respect的音译，表示尊重的意思，在中文里多用于表达“牛逼了我的哥”“我佛了”等意思。,出自说唱歌手中广泛流行的英文单词 “respect”。,生活,听说blackpink的Jennie可以在8秒内吐出63个音节，我真的是瑞思拜！,,Respect,6/9/2019,"['瑞斯拜', '瑞思白']",,,完成,
豆瓣八婆,Phoebe,Ella,指经常背黑锅的豆瓣鹅组成员(也包括踩组、象组）。,出自豆瓣上知名的娱乐八卦扒皮小组“豆瓣鹅组” （之前叫八组），因不管什么组出事了经常都是八组组员背锅，所以很多别的组组员说没事，反正出了事八婆顶着。,生活,哈哈哈无所谓随便说，反正有豆瓣八婆背锅。,,八婆背锅,2020,[],,,完成,象组和踩组是简写吗？
